periodo,tipo_exam,descripcion,link
ADMISION 2022-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_5to_A.txt
ADMISION 2022-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_5to_B.txt
ADMISION 2022-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área C y D Trujillo,http://admisionunt.info/docs/padrones/20221/20221_ordinario/20221_trujillo_5to_CD.txt
ADMISION 2022-I,EXTRAORDINARIO,Resultados Excelencia - Trujillo,http://admisionunt.info/docs/padrones/20221/20221_extraordinario/20221_extraordinario_trujillo.txt
ADMISION 2022-I,EXTRAORDINARIO,Resultados Personas con Discapacidad - Trujillo,http://admisionunt.info/docs/padrones/20221/20221_extraordinario/20221_disca_trujillo.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_trujillo_A.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_trujillo_B.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_trujillo_CD.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_valle_A.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_valle_B.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_valle_CD.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_huamachuco_A.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_huamachuco_B.txt
ADMISION 2022-II,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20222/20222_cepunt/20222_cepunt_huamachuco_CD.txt
