test_type,year_period,period,mod,place,link
ordinario,2022,ii,,huamachuco,http://admisionunt.info/docs/padrones/20222/20222_ordinario/20222_huamachuco_ordinario_B.txt
ordinario,2022,ii,,huamachuco,http://admisionunt.info/docs/padrones/20222/20222_ordinario/20222_huamachuco_ordinario_D.txt
ordinario,2022,ii,,santiago de chuco,http://admisionunt.info/docs/padrones/20222/20222_ordinario/20222_stgo_ordinario_B.txt
extraordinario,2022,ii,excelencia,trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_excelencia_trujillo.txt
extraordinario,2022,ii,personas con discapacidad,trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_discapacitados_trujillo.txt
extraordinario,2022,ii,victimas de la violencia,trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_victimas_trujillo.txt
extraordinario,2022,ii,deportistas calificados,trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_deportistas_trujillo.txt
extraordinario,2022,ii,excelencia,valle jequetepeque,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_excelencia_valle.txt
extraordinario,2022,ii,excelencia,huamachuco,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_excelencia_huamachuco.txt
extraordinario,2023,i,excelencia,trujillo,http://admisionunt.info/docs/padrones/20231/20231-excelencia-trujillo.txt
extraordinario,2023,i,personas con discapacidad,,http://admisionunt.info/docs/padrones/20231/20231-persona-discapacidad.txt
cepunt,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_A.txt
cepunt,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_B.txt
cepunt,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_CD.txt
cepunt,2023,i,,valle jequetepeque,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_A.txt
cepunt,2023,i,,valle jequetepeque,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_B.txt
cepunt,2023,i,,valle jequetepeque,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_CD.txt
cepunt,2023,i,,huamachuco,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_A.txt
cepunt,2023,i,,huamachuco,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_B.txt
cepunt,2023,i,,huamachuco,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_CD.txt
ordinario,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_A.txt
ordinario,2023,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_A.txt
ordinario,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_B.txt
ordinario,2023,i,,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_CD.txt
ordinario,2023,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_B.txt
ordinario,2023,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_CD.txt
cepunt,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230547.txt
cepunt,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230602.txt
cepunt,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230543.txt
cepunt,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230544.txt
cepunt,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230545.txt
cepunt,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230541.txt
cepunt,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230549.txt
cepunt,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230628.txt
cepunt,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230547.txt
extraordinario,2023,ii,excelencia,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230631.txt
extraordinario,2023,ii,personas con discapacidad,,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230636.txt
extraordinario,2023,ii,victimas de la violencia,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230638.txt
extraordinario,2023,ii,victimas de la violencia,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230639.txt
extraordinario,2023,ii,excelencia,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230633.txt
